"district","str_unit","str_unit_broad"
"Laborie",0,0
"VieuxFort",0,0
"Dennery",0,0
"Micoud",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"AnselaRaye",0,0
"Dennery",0,0
"Castries",0,0
"AnselaRaye",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Laborie",0,0
"Castries",0,0
"GrosIslet",0,0
"Soufriere",0,0
"Micoud",0,0
"Dennery",0,0
"Micoud",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"Canaries",0,0
"Choiseul",0,0
"Soufriere",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Laborie",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"Micoud",0,1
"Dennery",0,0
"GrosIslet",0,0
"Dennery",0,0
"Castries",0,0
"VieuxFort",0,0
"Choiseul",0,0
"Laborie",0,0
"Dennery",0,0
"Castries",0,0
"Choiseul",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"AnselaRaye",0,0
"Castries",0,0
"VieuxFort",0,1
"Castries",0,0
"Castries",0,0
"Canaries",0,0
"VieuxFort",0,0
"Dennery",0,0
"Laborie",0,0
"VieuxFort",0,0
"Castries",0,0
"VieuxFort",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"Laborie",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,1
"Laborie",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Canaries",0,0
"Castries",0,0
"Choiseul",0,0
"VieuxFort",0,0
"Laborie",0,0
"Soufriere",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Choiseul",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Soufriere",0,0
"Micoud",0,0
"Dennery",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"VieuxFort",0,0
"Micoud",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"Soufriere",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Soufriere",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Choiseul",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"Choiseul",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Soufriere",0,0
"Choiseul",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Castries",0,0
"Laborie",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Micoud",0,0
"AnselaRaye",0,0
"Choiseul",0,0
"AnselaRaye",0,0
"Micoud",0,0
"Micoud",0,0
"AnselaRaye",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"Micoud",0,0
"Laborie",0,0
"Dennery",0,0
"Castries",0,0
"VieuxFort",0,0
"VieuxFort",0,1
"Castries",0,0
"Choiseul",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Choiseul",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Micoud",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"GrosIslet",0,0
"Choiseul",0,0
"Soufriere",0,0
"Choiseul",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Micoud",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Dennery",0,0
"Castries",0,0
"Laborie",0,0
"Micoud",0,0
"Castries",0,0
"VieuxFort",0,0
"Choiseul",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"AnselaRaye",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Laborie",0,0
"Micoud",0,0
"Castries",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Dennery",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"Laborie",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"AnselaRaye",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Micoud",0,0
"Castries",0,0
"Choiseul",0,0
"Micoud",0,0
"VieuxFort",0,0
"Castries",0,0
"Laborie",0,0
"Laborie",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"Dennery",0,0
"Castries",0,0
"Dennery",0,0
"VieuxFort",0,0
"Micoud",0,0
"GrosIslet",0,0
"Castries",0,0
"Dennery",0,0
"Laborie",0,0
"Micoud",0,0
"VieuxFort",0,0
"Dennery",0,0
"Laborie",0,0
"Soufriere",0,0
"GrosIslet",0,0
"Dennery",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Micoud",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Dennery",0,0
"GrosIslet",0,0
"Micoud",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,0
"Choiseul",0,0
"Castries",0,0
"Castries",0,0
"Dennery",0,0
"Laborie",0,0
"GrosIslet",0,0
"Micoud",0,0
"Laborie",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"Dennery",0,0
"Soufriere",0,0
"Soufriere",0,0
"Dennery",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Choiseul",0,0
"GrosIslet",0,0
"Castries",0,0
"Dennery",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"Micoud",0,0
"Micoud",0,0
"VieuxFort",0,0
"Choiseul",0,0
"Canaries",0,0
"Micoud",0,0
"Soufriere",0,0
"Castries",0,0
"VieuxFort",0,0
"Dennery",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Laborie",0,0
"AnselaRaye",0,0
"Dennery",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Dennery",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Micoud",0,0
"Soufriere",0,0
"Canaries",0,0
"Laborie",0,0
"AnselaRaye",0,0
"Laborie",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"Laborie",0,0
"Choiseul",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Micoud",0,0
"GrosIslet",0,0
"Dennery",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Soufriere",0,0
"VieuxFort",0,1
"Castries",0,0
"Micoud",0,0
"Micoud",0,0
"AnselaRaye",0,0
"GrosIslet",0,0
"Micoud",0,0
"Laborie",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Dennery",0,0
"Castries",0,0
"GrosIslet",0,0
"Micoud",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Micoud",0,0
"GrosIslet",0,0
"Laborie",0,0
"Laborie",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Choiseul",0,0
"Canaries",0,0
"VieuxFort",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"Dennery",0,0
"VieuxFort",0,0
"Micoud",0,0
"Micoud",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"AnselaRaye",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Micoud",0,0
"GrosIslet",0,0
"Soufriere",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Micoud",0,0
"VieuxFort",0,0
"Micoud",0,0
"Castries",0,0
"Dennery",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Laborie",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"Soufriere",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"AnselaRaye",0,0
"Dennery",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Micoud",0,0
"Micoud",0,0
"Micoud",0,0
"Dennery",0,0
"Soufriere",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Micoud",0,0
"Dennery",0,0
"Soufriere",0,0
"Dennery",0,0
"GrosIslet",0,0
"Micoud",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Dennery",0,0
"Choiseul",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Dennery",0,0
"VieuxFort",0,0
"Castries",0,0
"AnselaRaye",0,0
"Castries",0,0
"VieuxFort",0,1
"Castries",0,0
"GrosIslet",0,0
"Soufriere",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Soufriere",0,0
"Laborie",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,0
"VieuxFort",0,0
"Dennery",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,1
"GrosIslet",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Micoud",0,0
"VieuxFort",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Micoud",0,0
"Laborie",0,0
"Castries",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"VieuxFort",0,1
"Castries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,0
"VieuxFort",0,0
"Dennery",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Micoud",0,0
"Castries",0,0
"AnselaRaye",0,0
"Dennery",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,0
"Laborie",0,0
"GrosIslet",0,0
"Micoud",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,0
"Micoud",0,0
"VieuxFort",0,0
"Soufriere",0,0
"Laborie",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Micoud",0,1
"GrosIslet",0,0
"Micoud",0,0
"Laborie",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"AnselaRaye",0,0
"Micoud",0,0
"Soufriere",0,0
"Laborie",0,0
"Castries",0,0
"Dennery",0,0
"Micoud",0,0
"Dennery",0,0
"GrosIslet",0,0
"Castries",0,0
"Dennery",0,0
"Dennery",0,0
"Micoud",0,0
"Choiseul",0,0
"Micoud",0,0
"Dennery",0,0
"GrosIslet",0,1
"Castries",0,0
"VieuxFort",0,0
"Choiseul",0,0
"Dennery",0,0
"Micoud",0,0
"VieuxFort",0,0
"Castries",0,0
"Laborie",0,0
"VieuxFort",0,1
"Castries",0,0
"Laborie",0,0
"Castries",0,0
"Castries",0,0
"Dennery",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"AnselaRaye",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Castries",0,0
"Laborie",0,0
"Choiseul",0,0
"Dennery",0,0
"Castries",0,0
"VieuxFort",0,0
"Micoud",0,0
"Canaries",0,0
"AnselaRaye",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"AnselaRaye",0,1
"Soufriere",0,0
"Micoud",0,0
"Castries",0,0
"Dennery",0,1
"Micoud",0,0
"Castries",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Choiseul",0,0
"Dennery",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Choiseul",0,0
"Castries",0,0
"Laborie",0,0
"Dennery",0,0
"GrosIslet",0,0
"Canaries",0,0
"Castries",0,0
"Micoud",0,0
"AnselaRaye",0,0
"GrosIslet",0,0
"Castries",0,0
"Canaries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Dennery",0,0
"Dennery",0,0
"Dennery",0,0
"Castries",0,0
"AnselaRaye",0,0
"Castries",0,0
"Laborie",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Soufriere",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"GrosIslet",0,1
"Castries",0,0
"Soufriere",0,0
"Laborie",0,0
"Canaries",0,0
"Micoud",0,0
"GrosIslet",0,0
"Choiseul",0,0
"Soufriere",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"Dennery",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Micoud",0,0
"GrosIslet",0,0
"Dennery",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"Micoud",0,0
"Soufriere",0,0
"Dennery",0,0
"VieuxFort",0,0
"Micoud",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"Dennery",0,0
"GrosIslet",0,0
"Soufriere",0,0
"Soufriere",0,0
"Dennery",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Micoud",0,1
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"AnselaRaye",0,0
"AnselaRaye",0,0
"VieuxFort",0,0
"Micoud",0,0
"Castries",0,0
"Micoud",0,0
"GrosIslet",0,0
"Castries",0,0
"Micoud",0,0
"VieuxFort",0,0
"Dennery",0,0
"Dennery",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"Soufriere",0,0
"Choiseul",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"AnselaRaye",0,0
"Dennery",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Castries",0,0
"Choiseul",0,0
"Micoud",0,0
"Castries",0,0
"VieuxFort",0,0
"Soufriere",0,0
"GrosIslet",0,0
"Soufriere",0,0
"GrosIslet",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"Laborie",0,0
"AnselaRaye",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Soufriere",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,1
"AnselaRaye",0,0
"Laborie",0,0
"GrosIslet",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Micoud",0,0
"Laborie",0,0
"Castries",0,0
"AnselaRaye",0,0
"Castries",0,0
"Choiseul",0,0
"Micoud",0,0
"Dennery",0,0
"Micoud",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Micoud",0,0
"Choiseul",0,0
"Micoud",0,0
"Choiseul",0,0
"Laborie",0,0
"Soufriere",0,0
"Castries",0,0
"Choiseul",0,0
"Dennery",0,0
"Choiseul",0,0
"VieuxFort",0,0
"Micoud",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Micoud",0,0
"Castries",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Micoud",0,0
"Laborie",0,0
"Soufriere",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",1,1
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Soufriere",0,0
"Micoud",0,1
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Laborie",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Castries",0,0
"Micoud",0,0
"GrosIslet",0,0
"Laborie",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"VieuxFort",0,0
"Canaries",0,0
"Castries",0,0
"Choiseul",0,0
"VieuxFort",0,0
"Castries",0,0
"Dennery",0,0
"AnselaRaye",0,0
"AnselaRaye",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Choiseul",0,0
"Laborie",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Dennery",0,0
"Choiseul",0,0
"VieuxFort",0,0
"Castries",0,0
"Dennery",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"AnselaRaye",0,0
"AnselaRaye",0,0
"Choiseul",0,0
"Dennery",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Laborie",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Soufriere",0,0
"Dennery",0,0
"Micoud",0,0
"Soufriere",0,1
"Soufriere",0,0
"VieuxFort",0,0
"Castries",0,0
"Micoud",0,0
"Choiseul",0,0
"Laborie",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,1
"Choiseul",0,0
"Castries",0,0
"Dennery",0,0
"GrosIslet",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Dennery",0,0
"Castries",0,0
"Laborie",0,0
"Castries",0,0
"Choiseul",0,0
"VieuxFort",0,0
"Choiseul",0,0
"Castries",0,0
"GrosIslet",0,0
"VieuxFort",0,1
"Micoud",0,0
"AnselaRaye",0,0
"Canaries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Dennery",0,0
"Choiseul",0,0
"AnselaRaye",0,0
"Dennery",0,0
"Dennery",0,0
"VieuxFort",0,0
"Dennery",0,0
"Dennery",0,0
"VieuxFort",0,1
"Soufriere",0,0
"Castries",0,0
"GrosIslet",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"AnselaRaye",0,0
"Micoud",0,0
"VieuxFort",0,0
"Castries",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Micoud",0,0
"GrosIslet",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Soufriere",0,0
"AnselaRaye",0,0
"Soufriere",0,0
"VieuxFort",0,0
"AnselaRaye",0,0
"Castries",0,0
"Choiseul",0,0
"Dennery",0,0
"Dennery",0,0
"Micoud",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"AnselaRaye",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Choiseul",0,0
"Laborie",0,0
"Dennery",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,0
"Choiseul",0,0
"Canaries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"VieuxFort",0,0
"Dennery",0,0
"GrosIslet",0,0
"Dennery",0,0
"GrosIslet",0,0
"Dennery",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Canaries",0,0
"Micoud",0,0
"VieuxFort",0,0
"Laborie",0,0
"VieuxFort",0,0
"VieuxFort",0,0
"Micoud",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,1
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Choiseul",0,0
"VieuxFort",0,0
"GrosIslet",0,1
"Soufriere",0,0
"GrosIslet",0,0
"Micoud",0,0
"VieuxFort",0,0
"Choiseul",0,0
"Castries",0,0
"Dennery",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Soufriere",0,0
"VieuxFort",0,0
"Castries",0,0
"AnselaRaye",0,0
"VieuxFort",0,0
"Castries",0,0
"Soufriere",0,1
"Castries",0,0
"Castries",0,0
"Soufriere",0,0
"VieuxFort",0,0
"Castries",0,0
"VieuxFort",0,0
"Micoud",0,0
"VieuxFort",0,0
"Castries",0,0
"VieuxFort",0,0
"Dennery",0,0
"GrosIslet",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"AnselaRaye",0,0
"GrosIslet",0,0
"Dennery",0,0
"GrosIslet",0,0
"Dennery",0,0
"Micoud",0,0
"Dennery",0,0
"Castries",0,0
"GrosIslet",0,0
"AnselaRaye",0,0
"AnselaRaye",0,0
"Dennery",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,0
"GrosIslet",0,0
"Castries",0,0
"Soufriere",0,0
"Soufriere",0,0
"AnselaRaye",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Laborie",0,0
"Micoud",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,1
"Choiseul",0,0
"Dennery",0,0
"Laborie",0,0
"GrosIslet",0,0
"Castries",0,0
"Micoud",0,0
"Castries",0,0
"AnselaRaye",0,0
"VieuxFort",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Micoud",0,0
"Dennery",0,1
"Canaries",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Dennery",0,0
"Laborie",0,0
"Castries",0,0
"VieuxFort",0,0
"Laborie",0,0
"VieuxFort",0,0
"Laborie",0,0
"VieuxFort",0,0
"Micoud",0,0
"GrosIslet",0,0
"Micoud",0,0
"GrosIslet",0,0
"Choiseul",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Choiseul",0,0
"Choiseul",0,0
"Castries",0,0
"Soufriere",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Dennery",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Choiseul",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Soufriere",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,0
"Castries",0,0
"GrosIslet",0,0
"Soufriere",0,0
"Canaries",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Dennery",0,0
"VieuxFort",0,0
"Dennery",0,0
"Castries",0,0
"VieuxFort",0,0
"AnselaRaye",0,0
"Micoud",0,0
"Dennery",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Micoud",0,0
"VieuxFort",0,0
"GrosIslet",1,1
"Dennery",0,0
"AnselaRaye",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Micoud",0,0
"GrosIslet",0,0
"Laborie",0,0
"GrosIslet",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Castries",0,0
"Dennery",0,0
"Castries",0,0
"Micoud",0,0
"Dennery",0,0
"GrosIslet",0,0
"Laborie",0,0
"Dennery",0,0
"VieuxFort",0,0
"Castries",0,0
"AnselaRaye",0,0
"VieuxFort",0,0
"Castries",0,0
"Dennery",0,0
"Soufriere",0,0
"Micoud",0,0
"Soufriere",0,0
"Micoud",0,0
"Castries",0,0
"GrosIslet",0,0
"GrosIslet",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,0
"Laborie",0,0
"Laborie",0,0
"GrosIslet",0,0
"Castries",0,0
"Canaries",0,0
"Micoud",0,0
"Castries",0,0
"Micoud",0,0
"Soufriere",0,0
"GrosIslet",0,0
"Soufriere",0,0
"Castries",0,0
"GrosIslet",0,0
"Castries",0,0
"Choiseul",0,0
"Dennery",0,0
"Castries",0,0
"GrosIslet",0,0
"Dennery",0,0
"Castries",0,0
"Micoud",0,0
"Dennery",0,0
"Castries",0,0
"VieuxFort",0,0
"GrosIslet",0,0
"Choiseul",0,0
"GrosIslet",0,0
"VieuxFort",0,0
"Micoud",0,0
"Castries",0,0
"Castries",0,0
"GrosIslet",0,0
